RHC;;;
Fecha;Componente;Valor;UOM
02/01/2015 17:35:48;1% RECOGIDO;302;§C
02/01/2015 17:35:48;10% RECOGIDO;374;§C
02/01/2015 17:35:48;20% RECOGIDO;396;§C
02/01/2015 17:35:48;30% RECOGIDO;405;§C
02/01/2015 17:35:48;5% RECOGIDO;359;§C
02/01/2015 17:35:48;50% RECOGIDO;424;§C
02/01/2015 17:35:48;70% RECOGIDO;442;§C
02/01/2015 17:35:48;80% RECOGIDO;457;§C
02/01/2015 17:35:48;90% RECOGIDO;485;§C
02/01/2015 17:35:48;95% RECOGIDO;515;§C
02/01/2015 17:35:48;AZUFRE;3.4;mg/kg
02/01/2015 17:35:48;COLOR ASTM;3.0;-
02/01/2015 17:35:48;DENSIDAD 15§C;0.8501;Kg/L
02/01/2015 17:35:48;I. VISCOSIDAD NOR 4.3 CST A 100§C;130;-
02/01/2015 17:35:48;INDICE VISCOSIDAD;129;-
02/01/2015 17:35:48;NITROGENO;7.5;mg/kg
02/01/2015 17:35:48;P.FINAL;545;§C
02/01/2015 17:35:48;P.INICIAL;293;§C
02/01/2015 17:35:48;VISCOSIDAD A 100§C;4.218;mmý/s
02/01/2015 17:35:48;VISCOSIDAD A 65§C;8.926;mmý/s
05/01/2015 6:12:01;1% RECOGIDO;290;§C
05/01/2015 6:12:01;10% RECOGIDO;375;§C
05/01/2015 6:12:01;20% RECOGIDO;398;§C
05/01/2015 6:12:01;30% RECOGIDO;410;§C
05/01/2015 6:12:01;5% RECOGIDO;358;§C
05/01/2015 6:12:01;50% RECOGIDO;432;§C
05/01/2015 6:12:01;70% RECOGIDO;454;§C
05/01/2015 6:12:01;80% RECOGIDO;470;§C
05/01/2015 6:12:01;90% RECOGIDO;505;§C
05/01/2015 6:12:01;95% RECOGIDO;542;§C
05/01/2015 6:12:01;AZUFRE;2.8;mg/kg
05/01/2015 6:12:01;COLOR ASTM;<3.5;-
05/01/2015 6:12:01;DENSIDAD 15§C;0.8422;Kg/L
05/01/2015 6:12:01;I. VISCOSIDAD NOR 4.3 CST A 100§C;128;-
05/01/2015 6:12:01;INDICE VISCOSIDAD;128;-
05/01/2015 6:12:01;NITROGENO;<0.1;mg/kg
05/01/2015 6:12:01;P.FINAL;579;§C
05/01/2015 6:12:01;P.INICIAL;280;§C
05/01/2015 6:12:01;VISCOSIDAD A 100§C;4.319;mmý/s
05/01/2015 6:12:01;VISCOSIDAD A 65§C;9.223;mmý/s
06/01/2015 11:29:53;1% RECOGIDO;294;§C
06/01/2015 11:29:53;10% RECOGIDO;380;§C
06/01/2015 11:29:53;20% RECOGIDO;404;§C
06/01/2015 11:29:53;30% RECOGIDO;416;§C
06/01/2015 11:29:53;5% RECOGIDO;362;§C
06/01/2015 11:29:53;50% RECOGIDO;439;§C
06/01/2015 11:29:53;70% RECOGIDO;459;§C
06/01/2015 11:29:53;80% RECOGIDO;475;§C
06/01/2015 11:29:53;90% RECOGIDO;505;§C
06/01/2015 11:29:53;95% RECOGIDO;536;§C
06/01/2015 11:29:53;AZUFRE;4.3;mg/kg
06/01/2015 11:29:53;COLOR ASTM;5.0;-
06/01/2015 11:29:53;DENSIDAD 15§C;0.8461;Kg/L
06/01/2015 11:29:53;I. VISCOSIDAD NOR 4.3 CST A 100§C;125;-
06/01/2015 11:29:53;INDICE VISCOSIDAD;130;-
06/01/2015 11:29:53;NITROGENO;1.5;mg/kg
06/01/2015 11:29:53;P.FINAL;566;§C
06/01/2015 11:29:53;P.INICIAL;284;§C
06/01/2015 11:29:53;VISCOSIDAD A 100§C;4.793;mmý/s
06/01/2015 11:29:53;VISCOSIDAD A 65§C;10.511;mmý/s
07/01/2015 6:04:02;1% RECOGIDO;284;§C
07/01/2015 6:04:02;10% RECOGIDO;377;§C
07/01/2015 6:04:02;20% RECOGIDO;404;§C
07/01/2015 6:04:02;30% RECOGIDO;415;§C
07/01/2015 6:04:02;5% RECOGIDO;362;§C
07/01/2015 6:04:02;50% RECOGIDO;437;§C
07/01/2015 6:04:02;70% RECOGIDO;458;§C
07/01/2015 6:04:02;80% RECOGIDO;474;§C
07/01/2015 6:04:02;90% RECOGIDO;505;§C
07/01/2015 6:04:02;95% RECOGIDO;536;§C
07/01/2015 6:04:02;AZUFRE;3.4;mg/kg
07/01/2015 6:04:02;COLOR ASTM;3.5;-
07/01/2015 6:04:02;DENSIDAD 15§C;0.8455;Kg/L
07/01/2015 6:04:02;I. VISCOSIDAD NOR 4.3 CST A 100§C;126;-
07/01/2015 6:04:02;INDICE VISCOSIDAD;131;-
07/01/2015 6:04:02;NITROGENO;<0.5;mg/kg
07/01/2015 6:04:02;P.FINAL;567;§C
07/01/2015 6:04:02;P.INICIAL;272;§C
07/01/2015 6:04:02;VISCOSIDAD A 100§C;4.804;mmý/s
07/01/2015 6:04:02;VISCOSIDAD A 65§C;10.515;mmý/s
09/01/2015 9:01:41;1% RECOGIDO;291;§C
09/01/2015 9:01:41;10% RECOGIDO;372;§C
09/01/2015 9:01:41;20% RECOGIDO;396;§C
09/01/2015 9:01:41;30% RECOGIDO;408;§C
09/01/2015 9:01:41;5% RECOGIDO;354;§C
09/01/2015 9:01:41;50% RECOGIDO;429;§C
09/01/2015 9:01:41;70% RECOGIDO;451;§C
09/01/2015 9:01:41;80% RECOGIDO;467;§C
09/01/2015 9:01:41;90% RECOGIDO;498;§C
09/01/2015 9:01:41;95% RECOGIDO;530;§C
09/01/2015 9:01:41;AZUFRE;3.9;mg/kg
09/01/2015 9:01:41;COLOR ASTM;<3.5;-
09/01/2015 9:01:41;DENSIDAD 15§C;0.8436;Kg/L
09/01/2015 9:01:41;I. VISCOSIDAD NOR 4.3 CST A 100§C;130;-
09/01/2015 9:01:41;INDICE VISCOSIDAD;131;-
09/01/2015 9:01:41;NITROGENO;<0.5;mg/kg
09/01/2015 9:01:41;P.FINAL;562;§C
09/01/2015 9:01:41;P.INICIAL;282;§C
09/01/2015 9:01:41;VISCOSIDAD A 100§C;4.425;mmý/s
09/01/2015 9:01:41;VISCOSIDAD A 65§C;9.463;mmý/s
10/01/2015 6:14:53;DENSIDAD 15§C;0.8407;Kg/L
10/01/2015 6:14:53;I. VISCOSIDAD NOR 4.3 CST A 100§C;130;-
10/01/2015 6:14:53;INDICE VISCOSIDAD;128;-
12/01/2015 5:52:06;1% RECOGIDO;264;§C
12/01/2015 5:52:06;10% RECOGIDO;378;§C
12/01/2015 5:52:06;20% RECOGIDO;411;§C
12/01/2015 5:52:06;30% RECOGIDO;428;§C
12/01/2015 5:52:06;5% RECOGIDO;353;§C
12/01/2015 5:52:06;50% RECOGIDO;459;§C
12/01/2015 5:52:06;70% RECOGIDO;488;§C
12/01/2015 5:52:06;80% RECOGIDO;510;§C
12/01/2015 5:52:06;90% RECOGIDO;538;§C
12/01/2015 5:52:06;95% RECOGIDO;570;§C
12/01/2015 5:52:06;AZUFRE;4.2;mg/kg
12/01/2015 5:52:06;COLOR ASTM;<4.0;-
12/01/2015 5:52:06;DENSIDAD 15§C;0.8473;Kg/L
12/01/2015 5:52:06;I. VISCOSIDAD NOR 4.3 CST A 100§C;129;-
12/01/2015 5:52:06;INDICE VISCOSIDAD;132;-
12/01/2015 5:52:06;NITROGENO;<0.5;mg/kg
12/01/2015 5:52:06;P.FINAL;602;§C
12/01/2015 5:52:06;P.INICIAL;251;§C
12/01/2015 5:52:06;VISCOSIDAD A 100§C;4.673;mmý/s
12/01/2015 5:52:06;VISCOSIDAD A 65§C;10.129;mmý/s
13/01/2015 19:51:43;AZUFRE;<1.0;mg/kg
13/01/2015 19:51:43;DENSIDAD 15§C;0.8466;Kg/L
13/01/2015 19:51:43;I. VISCOSIDAD NOR 4.3 CST A 100§C;122;-
13/01/2015 19:51:43;INDICE VISCOSIDAD;126;-
13/01/2015 19:51:43;NITROGENO;6.02;mg/kg
13/01/2015 19:51:43;VISCOSIDAD A 100§C;4.642;mmý/s
13/01/2015 19:51:43;VISCOSIDAD A 65§C;10.159;mmý/s
14/01/2015 6:15:06;1% RECOGIDO;;§C
14/01/2015 6:15:06;10% RECOGIDO;;§C
14/01/2015 6:15:06;20% RECOGIDO;;§C
14/01/2015 6:15:06;30% RECOGIDO;;§C
14/01/2015 6:15:06;5% RECOGIDO;;§C
14/01/2015 6:15:06;50% RECOGIDO;;§C
14/01/2015 6:15:06;70% RECOGIDO;;§C
14/01/2015 6:15:06;80% RECOGIDO;;§C
14/01/2015 6:15:06;90% RECOGIDO;;§C
14/01/2015 6:15:06;95% RECOGIDO;;§C
14/01/2015 6:15:06;AZUFRE;;mg/kg
14/01/2015 6:15:06;COLOR ASTM;;-
14/01/2015 6:15:06;DENSIDAD 15§C;;Kg/L
14/01/2015 6:15:06;I. VISCOSIDAD NOR 4.3 CST A 100§C;;-
14/01/2015 6:15:06;INDICE VISCOSIDAD;;-
14/01/2015 6:15:06;NITROGENO;;mg/kg
14/01/2015 6:15:06;P.FINAL;;§C
14/01/2015 6:15:06;P.INICIAL;;§C
14/01/2015 6:15:06;VISCOSIDAD A 100§C;;mmý/s
14/01/2015 6:15:06;VISCOSIDAD A 65§C;;mmý/s
14/01/2015 15:37:56;DENSIDAD 15§C;0.8456;Kg/L
14/01/2015 15:37:56;I. VISCOSIDAD NOR 4.3 CST A 100§C;126;-
15/01/2015 6:24:25;AZUFRE;3.2;mg/kg
15/01/2015 6:24:25;DENSIDAD 15§C;0.8474;Kg/L
