RHC;;;
Fecha;Componente;Valor;UOM
16/04/2014 7:53:01;1% RECOGIDO;220;§C
16/04/2014 7:53:01;5% RECOGIDO;241;§C
16/04/2014 7:53:01;10% RECOGIDO;253;§C
16/04/2014 7:53:01;20% RECOGIDO;265;§C
16/04/2014 7:53:01;30% RECOGIDO;272;§C
16/04/2014 7:53:01;50% RECOGIDO;287;§C
16/04/2014 7:53:01;70% RECOGIDO;303;§C
16/04/2014 7:53:01;80% RECOGIDO;314;§C
16/04/2014 7:53:01;90% RECOGIDO;332;§C
16/04/2014 7:53:01;95% RECOGIDO;347;§C
16/04/2014 7:53:01;P.FINAL;455;§C
16/04/2014 7:53:01;P.INICIAL;196;§C
16/04/2014 7:53:01;AZUFRE;23.4;mg/Kg
16/04/2014 7:53:01;COLOR ASTM;<0.5;-
16/04/2014 7:53:01;DENSIDAD 15§C;0.8004;Kg/L
16/04/2014 7:53:01;DESTILACION:;;.
16/04/2014 7:53:01;I. VISCOSIDAD NOR 4.3 CST A 100§C;;-
16/04/2014 7:53:01;INDICE VISCOSIDAD;;-
16/04/2014 7:53:01;NITROGENO;3.5;mg/Kg
16/04/2014 7:53:01;VISCOSIDAD A 100§C;1.322;mm2/S
16/04/2014 7:53:01;VISCOSIDAD A 65§C;2.135;mm2/S
16/04/2014 19:29:26;AZUFRE;6.9;mg/Kg
16/04/2014 19:29:26;DENSIDAD 15§C;0.8488;Kg/L
18/04/2014 6:09:09;1% RECOGIDO;328;§C
18/04/2014 6:09:09;5% RECOGIDO;369;§C
18/04/2014 6:09:09;10% RECOGIDO;389;§C
18/04/2014 6:09:09;20% RECOGIDO;401;§C
18/04/2014 6:09:09;30% RECOGIDO;411;§C
18/04/2014 6:09:09;50% RECOGIDO;425;§C
18/04/2014 6:09:09;70% RECOGIDO;441;§C
18/04/2014 6:09:09;80% RECOGIDO;460;§C
18/04/2014 6:09:09;90% RECOGIDO;494;§C
18/04/2014 6:09:09;95% RECOGIDO;529;§C
18/04/2014 6:09:09;P.FINAL;564;§C
18/04/2014 6:09:09;P.INICIAL;322;§C
18/04/2014 6:09:09;AZUFRE;3.5;mg/Kg
18/04/2014 6:09:09;COLOR ASTM;<1.5;-
18/04/2014 6:09:09;DENSIDAD 15§C;0.8365;Kg/L
18/04/2014 6:09:09;DESTILACION:;;.
18/04/2014 6:09:09;I. VISCOSIDAD NOR 4.3 CST A 100§C;142;-
18/04/2014 6:09:09;INDICE VISCOSIDAD;139;-
18/04/2014 6:09:09;NITROGENO;2.2;mg/Kg
18/04/2014 6:09:09;VISCOSIDAD A 100§C;3.990;mm2/S
18/04/2014 6:09:09;VISCOSIDAD A 65§C;8.195;mm2/S
20/04/2014 8:03:12;1% RECOGIDO;324;§C
20/04/2014 8:03:12;5% RECOGIDO;369;§C
20/04/2014 8:03:12;10% RECOGIDO;390;§C
20/04/2014 8:03:12;20% RECOGIDO;404;§C
20/04/2014 8:03:12;30% RECOGIDO;413;§C
20/04/2014 8:03:12;50% RECOGIDO;429;§C
20/04/2014 8:03:12;70% RECOGIDO;446;§C
20/04/2014 8:03:12;80% RECOGIDO;466;§C
20/04/2014 8:03:12;90% RECOGIDO;500;§C
20/04/2014 8:03:12;95% RECOGIDO;535;§C
20/04/2014 8:03:12;P.FINAL;570;§C
20/04/2014 8:03:12;P.INICIAL;317;§C
20/04/2014 8:03:12;AZUFRE;3.2;mg/Kg
